number,value,datetime_start,datetime_complete,duration,params_mask_thr,params_nms_thr,params_score_thr,state
108,0.22567395197432172,2021-12-18 03:55:20.087172,2021-12-18 03:56:42.517386,0 days 00:01:22.430214,0.5512183934137113,0.39386699334484215,0.34464086005673433,COMPLETE
109,0.22500952399514532,2021-12-18 03:56:42.519970,2021-12-18 03:58:03.446935,0 days 00:01:20.926965,0.4876319929829924,0.22158209567647147,0.3439950690952955,COMPLETE
110,0.22484742811839703,2021-12-18 03:58:03.448535,2021-12-18 03:59:23.897123,0 days 00:01:20.448588,0.5539351801576041,0.48288816960995395,0.35613683038263905,COMPLETE
111,0.22552997343110118,2021-12-18 03:59:23.911416,2021-12-18 04:00:43.885107,0 days 00:01:19.973691,0.5444505804579335,0.3924418378551964,0.3774294982776555,COMPLETE
112,0.22578518170131903,2021-12-18 04:00:43.887117,2021-12-18 04:02:03.475122,0 days 00:01:19.588005,0.531847525231179,0.18317783064241855,0.29158825734849403,COMPLETE
113,0.22456416651901168,2021-12-18 04:02:03.477570,2021-12-18 04:03:23.587905,0 days 00:01:20.110335,0.6121123160332695,0.16755784046646047,0.2723719817400515,COMPLETE
114,0.217999341061811,2021-12-18 04:03:23.601451,2021-12-18 04:04:43.188831,0 days 00:01:19.587380,0.4631835611768751,0.08014562086334825,0.3197273665624334,COMPLETE
115,0.22582545198961274,2021-12-18 04:04:43.191355,2021-12-18 04:06:05.407306,0 days 00:01:22.215951,0.5249369805217377,0.18914617417383084,0.28214217974651323,COMPLETE
116,0.22239417115274357,2021-12-18 04:06:05.409082,2021-12-18 04:07:28.438401,0 days 00:01:23.029319,0.4980867511111803,0.11234973659486737,0.2690681385390854,COMPLETE
117,0.22533512971441327,2021-12-18 04:07:28.454455,2021-12-18 04:08:49.583208,0 days 00:01:21.128753,0.5663481871971656,0.14800717682549888,0.22566708743818462,COMPLETE
118,0.2241672477425135,2021-12-18 04:08:49.585109,2021-12-18 04:10:13.154179,0 days 00:01:23.569070,0.43688614041714124,0.19737196887425995,0.283548675499004,COMPLETE
119,0.22447409443196123,2021-12-18 04:10:13.155925,2021-12-18 04:11:34.101912,0 days 00:01:20.945987,0.47512238028744047,0.18611953304949957,0.34373282376075864,COMPLETE
